metric_id,metric_code,metric_label,definition,concept_code,vendor_code,is_derived,source_vendor_codes,unit,direction,geo_level_code,frequency_code,is_active,data_status_code,snowflake_column,table_path,metric_category_code,is_opco_metric
CENSUS_MAN_29E6AD8883,census_acs_demographics_county_pop_65_plus_pct_change_acs5_10yr,Census Pop 65 Plus Pct Change Acs5 10Yr,Census Pop 65 Plus Pct Change Acs5 10Yr (pop 65 plus pct change acs5 10yr).,pipeline,census,FALSE,Census,pct,neutral,county,monthly,TRUE,under_review,POP_65_PLUS_PCT_CHANGE_ACS5_10YR,TRANSFORM.DEV.FACT_ACS_DEMOGRAPHICS_COUNTY,coincident,FALSE
CENSUS_MAN_29F4627E11,census_acs_demographics_county_pop_25_44_pct_change_acs5_10yr,Census Pop 25 44 Pct Change Acs5 10Yr,Census Pop 25 44 Pct Change Acs5 10Yr (pop 25 44 pct change acs5 10yr).,pipeline,census,FALSE,Census,pct,neutral,county,monthly,TRUE,under_review,POP_25_44_PCT_CHANGE_ACS5_10YR,TRANSFORM.DEV.FACT_ACS_DEMOGRAPHICS_COUNTY,coincident,FALSE
CENSUS_MAN_2AEC2983EE,census_census_acs5_h3_r8_snapshot_pct_asian,Census Pct Asian,Census Pct Asian (pct asian).,pipeline,census,FALSE,Census,pct,neutral,cbsa,monthly,TRUE,under_review,PCT_ASIAN,TRANSFORM.DEV.FACT_CENSUS_ACS5_H3_R8_SNAPSHOT,coincident,FALSE
CENSUS_MAN_2C38D6A00D,census_acs_demographics_county_pct_commute_30_plus_min,Census Pct Commute 30 Plus Min,Census Pct Commute 30 Plus Min (pct commute 30 plus min).,pipeline,census,FALSE,Census,pct,neutral,county,monthly,TRUE,under_review,PCT_COMMUTE_30_PLUS_MIN,TRANSFORM.DEV.FACT_ACS_DEMOGRAPHICS_COUNTY,coincident,FALSE
CENSUS_MAN_2D54361718,census_acs_demographics_county_pct_asian_ppt_change_acs5_5yr,Census Pct Asian Ppt Change Acs5 5Yr,Census Pct Asian Ppt Change Acs5 5Yr (pct asian ppt change acs5 5yr).,pipeline,census,FALSE,Census,pct,neutral,county,monthly,TRUE,under_review,PCT_ASIAN_PPT_CHANGE_ACS5_5YR,TRANSFORM.DEV.FACT_ACS_DEMOGRAPHICS_COUNTY,coincident,FALSE
CENSUS_MAN_2E42BEC551,census_acs_demographics_county_poverty_total_abs_change_acs5_10yr,Census Poverty Total Abs Change Acs5 10Yr,Census Poverty Total Abs Change Acs5 10Yr (poverty total abs change acs5 10yr).,pipeline,census,FALSE,Census,varies,neutral,county,monthly,TRUE,under_review,POVERTY_TOTAL_ABS_CHANGE_ACS5_10YR,TRANSFORM.DEV.FACT_ACS_DEMOGRAPHICS_COUNTY,coincident,FALSE
CENSUS_MAN_2EA8C6EBC8,census_acs_demographics_county_pct_graduate_plus_ppt_change_acs5_5yr,Census Pct Graduate Plus Ppt Change Acs5 5Yr,Census Pct Graduate Plus Ppt Change Acs5 5Yr (pct graduate plus ppt change acs5 5yr).,pipeline,census,FALSE,Census,pct,neutral,county,monthly,TRUE,under_review,PCT_GRADUATE_PLUS_PPT_CHANGE_ACS5_5YR,TRANSFORM.DEV.FACT_ACS_DEMOGRAPHICS_COUNTY,coincident,FALSE
CENSUS_MAN_2FE3189742,census_acs_demographics_county_pct_below_poverty,Census Pct Below Poverty,Census Pct Below Poverty (pct below poverty).,pipeline,census,FALSE,Census,pct,neutral,county,monthly,TRUE,under_review,PCT_BELOW_POVERTY,TRANSFORM.DEV.FACT_ACS_DEMOGRAPHICS_COUNTY,coincident,FALSE
CENSUS_MAN_30E20420A6,census_acs_demographics_county_median_hhi,Census Median Hhi,Census Median Hhi (median hhi).,income,census,FALSE,Census,index,neutral,county,monthly,TRUE,under_review,MEDIAN_HHI,TRANSFORM.DEV.FACT_ACS_DEMOGRAPHICS_COUNTY,coincident,FALSE
CENSUS_MAN_31C777412B,census_acs_demographics_county_emp_total_16plus_abs_change_acs5_5yr,Census Emp Total 16Plus Abs Change Acs5 5Yr,Census Emp Total 16Plus Abs Change Acs5 5Yr (emp total 16plus abs change acs5 5yr).,pipeline,census,FALSE,Census,varies,neutral,county,monthly,TRUE,under_review,EMP_TOTAL_16PLUS_ABS_CHANGE_ACS5_5YR,TRANSFORM.DEV.FACT_ACS_DEMOGRAPHICS_COUNTY,coincident,FALSE
